
Contract: .migrations
Function Name | Function Signature
Function Name | Function Signature
--------------------------------

Contract: MarketEventUtils
Function Name | Function Signature
--------------------------------

Contract: MarketFactory
Function Name | Function Signature
--------------------------------
MarketAlreadyExists  | 0x25e34fa1
Unauthorized         | 0xa35b150b
createMarket         | 0xa50ff3a6
dataStore            | 0x660d0d67
eventEmitter         | 0x9ff78c30
roleStore            | 0x4a4a7b04

Contract: MarketStoreUtils
Function Name | Function Signature
--------------------------------
MarketNotFound       | 0x6918f9bf
INDEX_TOKEN          | 0xc11201f7
LONG_TOKEN           | 0x00a28b36
MARKET_KEY           | 0x492dec5a
MARKET_SALT          | 0xdb73bb15
MARKET_TOKEN         | 0x91bf0ff2
SHORT_TOKEN          | 0x5231e24f
get                  | 0xa8d8fff5
getBySalt            | 0x537803c2

Contract: MarketUtils
Function Name | Function Signature
--------------------------------
DisabledMarket       | 0x09f8c937
EmptyAddressInMarketTokenBalanceValidation | 0xe474a425
EmptyMarket          | 0x05fbc1ae
InvalidMarketTokenBalance | 0x33a1ea6b
InvalidMarketTokenBalanceForClaimableFunding | 0x9dd026db
InvalidMarketTokenBalanceForCollateralAmount | 0x808c464f
PRBMathUD60x18__Exp2InputTooBig | 0x4a4f26f1
PRBMathUD60x18__LogInputTooSmall | 0xd88504dc
PRBMath__MulDivFixedPointOverflow | 0xd31b3402
UnableToGetBorrowingFactorEmptyPoolUsd | 0x6afad778
UnableToGetFundingFactorEmptyOpenInterest | 0x11423d95
getMarketTokenPrice  | 0xd329024c
getPoolValueInfo     | 0x679a55b6
validateMarketTokenBalance | 0x6bbff104
validateMarketTokenBalance | 0x5930015e
validateMarketTokenBalance | 0x0d130769

Contract: MockPriceFeed
Function Name | Function Signature
--------------------------------
answer               | 0x85bb7d69
latestAnswer         | 0x50d25bcd
latestRoundData      | 0xfeaf968c
setAnswer            | 0x99213cd8

Contract: Multicall3
Function Name | Function Signature
--------------------------------
aggregate            | 0xd0707b67
aggregate3           | 0xc2e047ff
aggregate3Value      | 0x841a9d42
blockAndAggregate    | 0x966c523e
getBasefee           | 0x3e64a696
getBlockHash         | 0xee82ac5e
getBlockNumber       | 0x42cbb15c
getChainId           | 0x3408e470
getCurrentBlockCoinbase | 0xa8b0574e
getCurrentBlockGasLimit | 0x86d516e8
getCurrentBlockTimestamp | 0x0f28c97d
getEthBalance        | 0x4d2301cc
getLastBlockHash     | 0x27e86d6e
tryAggregate         | 0x3997d064
tryBlockAndAggregate | 0x28e439f3

Contract: Oracle
Function Name | Function Signature
--------------------------------
ArrayOutOfBoundsBytes | 0x70657e04
ArrayOutOfBoundsUint256 | 0x9d18e63b
BlockNumbersNotSorted | 0x11aeaf6b
CompactedArrayOutOfBounds | 0xbdec9c0d
DuplicatedIndex      | 0xd4064737
EmptyCompactedBlockNumber | 0x693ebfba
EmptyCompactedPrice  | 0x155064c4
EmptyCompactedTimestamp | 0x9ffb34e9
EmptyPriceFeed       | 0x44f234b1
EmptyPriceFeedMultiplier | 0xcc111885
EmptyPrimaryPrice    | 0xcd64a025
EmptyRealtimeFeedId  | 0xb8ad473e
EmptyRealtimeFeedMultiplier | 0xd47acf95
EmptySigner          | 0x48c3705f
HasRealtimeFeedId    | 0xe48f5a57
InvalidBlockNumber   | 0xd5dc642d
InvalidBlockRangeSet | 0x25e5dc07
InvalidFeedPrice     | 0xbe6514b6
InvalidMedianMinMaxPrice | 0xf4aa5e21
